,popularity,characteristic,power
208,8,danceability,0.5005
209,9,danceability,0.514
210,10,danceability,0.504
211,11,danceability,0.498
212,12,danceability,0.5015000000000001
213,13,danceability,0.516
214,14,danceability,0.513
215,15,danceability,0.52
216,16,danceability,0.507
217,17,danceability,0.5105
218,18,danceability,0.504
219,19,danceability,0.506
220,20,danceability,0.5185
221,21,danceability,0.514
222,22,danceability,0.514
223,23,danceability,0.526
224,24,danceability,0.528
225,25,danceability,0.515
226,26,danceability,0.518
227,27,danceability,0.517
228,28,danceability,0.5255000000000001
229,29,danceability,0.5365
230,30,danceability,0.525
231,31,danceability,0.528
232,32,danceability,0.534
233,33,danceability,0.535
234,34,danceability,0.534
235,35,danceability,0.5479999999999999
236,36,danceability,0.545
237,37,danceability,0.552
238,38,danceability,0.551
239,39,danceability,0.5529999999999999
240,40,danceability,0.5539999999999999
241,41,danceability,0.56
242,42,danceability,0.5589999999999999
243,43,danceability,0.562
244,44,danceability,0.565
245,45,danceability,0.5660000000000001
246,46,danceability,0.5660000000000001
247,47,danceability,0.564
248,48,danceability,0.578
249,49,danceability,0.5670000000000001
250,50,danceability,0.562
251,51,danceability,0.569
252,52,danceability,0.5770000000000001
253,53,danceability,0.5770000000000001
254,54,danceability,0.573
255,55,danceability,0.5760000000000001
256,56,danceability,0.5825
257,57,danceability,0.588
258,58,danceability,0.6
259,59,danceability,0.606
260,60,danceability,0.606
261,61,danceability,0.606
262,62,danceability,0.607
263,63,danceability,0.608
264,64,danceability,0.618
265,65,danceability,0.6165
266,66,danceability,0.625
267,67,danceability,0.6234999999999999
268,68,danceability,0.636
269,69,danceability,0.6409999999999999
270,70,danceability,0.635
271,71,danceability,0.652
272,72,danceability,0.6615
273,73,danceability,0.653
274,74,danceability,0.6545000000000001
275,75,danceability,0.6559999999999999
276,76,danceability,0.655
277,77,danceability,0.6579999999999999
278,78,danceability,0.6709999999999999
279,79,danceability,0.6779999999999999
280,80,danceability,0.664
281,81,danceability,0.6685000000000001
282,82,danceability,0.685
283,83,danceability,0.6744999999999999
284,84,danceability,0.72
285,85,danceability,0.7215
286,86,danceability,0.672
287,87,danceability,0.7190000000000001
288,88,danceability,0.711
289,89,danceability,0.7020000000000001
290,90,danceability,0.7440000000000001
291,91,danceability,0.718
292,92,danceability,0.789
293,93,danceability,0.58
294,94,danceability,0.7635000000000001
295,95,danceability,0.6575
296,96,danceability,0.7230000000000001
297,97,danceability,0.746
298,99,danceability,0.7
299,100,danceability,0.731
300,0,duration,0.03331825476919794
301,1,duration,0.03206890125800424
302,2,duration,0.03297500440872023
303,3,duration,0.03239205304097961
304,4,duration,0.03248596989622095
305,5,duration,0.03275762486310739
306,6,duration,0.032787355938583194
307,7,duration,0.03235880239893657
308,8,duration,0.03217476611553959
309,9,duration,0.03250523489216789
310,10,duration,0.032577386006796105
311,11,duration,0.03256247415897178
312,12,duration,0.03220570125326208
313,13,duration,0.03237241756434138
314,14,duration,0.03172037154767568
315,15,duration,0.03217476611553959
316,16,duration,0.03195747919009957
317,17,duration,0.031646182789245386
318,18,duration,0.03209326036345638
319,19,duration,0.032962685925734925
320,20,duration,0.0333121418377917
321,21,duration,0.03431114302184799
322,22,duration,0.03554493634400763
323,23,duration,0.035459633164838716
324,24,duration,0.036447612548329206
325,25,duration,0.036857642053411466
326,26,duration,0.03702065355757789
327,27,duration,0.038017246617140815
328,28,duration,0.03829631119785299
329,29,duration,0.03864826785457595
330,30,duration,0.04024624369627104
331,31,duration,0.03990058521129996
332,32,duration,0.0401451024675496
333,33,duration,0.04030311248238364
334,34,duration,0.04033275093768663
335,35,duration,0.04110825964472384
336,36,duration,0.041100942651070914
337,37,duration,0.04077853182947811
338,38,duration,0.04119837907287948
339,39,duration,0.041152809947851136
340,40,duration,0.041582567549744445
341,41,duration,0.041487446632256425
342,42,duration,0.041594793412556924
343,43,duration,0.041057689030363116
344,44,duration,0.04158479043389217
345,45,duration,0.04150837879131415
346,46,duration,0.041831901054980816
347,47,duration,0.04178874005444584
348,48,duration,0.041657867750248594
349,49,duration,0.04176039828156236
350,50,duration,0.04135768577013303
351,51,duration,0.0419480467516994
352,52,duration,0.041938229013380283
353,53,duration,0.04173316795075274
354,54,duration,0.04191229536499017
355,55,duration,0.04170352949544976
356,56,duration,0.041348701613369315
357,57,duration,0.04111817000321578
358,58,duration,0.04089189892101204
359,59,duration,0.04051613887987386
360,60,duration,0.04063895322903561
361,61,duration,0.04031255974001147
362,62,duration,0.04052540089715605
363,63,duration,0.04038221010997349
364,64,duration,0.039132393497915675
365,65,duration,0.03924603844996807
366,66,duration,0.039294941901217996
367,67,duration,0.039373205947252445
368,68,duration,0.03850498444722058
369,69,duration,0.039043848612698
370,70,duration,0.038440520806936586
371,71,duration,0.03879284794435084
372,72,duration,0.03844580015678743
373,73,duration,0.038738479902904424
374,74,duration,0.03792694194863952
375,75,duration,0.03865817821306789
376,76,duration,0.03763805962960823
377,77,duration,0.03751098475249667
378,78,duration,0.03652180130675949
379,79,duration,0.03802789793701532
380,80,duration,0.03695396703314617
381,81,duration,0.03617549448057866
382,82,duration,0.03855268383622383
383,83,duration,0.0365582936548513
384,84,duration,0.03567969869546339
385,85,duration,0.03245772074351029
386,86,duration,0.036395837871721806
387,87,duration,0.03450990591272364
388,88,duration,0.03500672051973995
389,89,duration,0.03645048377368668
390,90,duration,0.03619114728978555
391,91,duration,0.0341851795868103
392,92,duration,0.0337728345774075
393,93,duration,0.036889410772689354
394,94,duration,0.033270370139849056
395,95,duration,0.032373158525723957
396,96,duration,0.03238464342715386
397,97,duration,0.0359266240762064
398,99,duration,0.025084877126373927
399,100,duration,0.03704473480251157
400,0,energy,0.23399999999999999
401,1,energy,0.214
402,2,energy,0.249
403,3,energy,0.244
404,4,energy,0.245
405,5,energy,0.2665
406,6,energy,0.275
407,7,energy,0.254
408,8,energy,0.26
409,9,energy,0.262
410,10,energy,0.267
411,11,energy,0.27699999999999997
412,12,energy,0.289
413,13,energy,0.312
414,14,energy,0.294
415,15,energy,0.299
416,16,energy,0.302
417,17,energy,0.313
418,18,energy,0.33799999999999997
419,19,energy,0.37
420,20,energy,0.3915
421,21,energy,0.425
422,22,energy,0.4370000000000001
423,23,energy,0.44799999999999995
424,24,energy,0.48700000000000004
425,25,energy,0.47750000000000004
426,26,energy,0.4920000000000001
427,27,energy,0.503
428,28,energy,0.51
429,29,energy,0.513
430,30,energy,0.531
431,31,energy,0.536
432,32,energy,0.525
433,33,energy,0.5379999999999999
434,34,energy,0.5329999999999999
435,35,energy,0.545
436,36,energy,0.555
437,37,energy,0.5555000000000001
438,38,energy,0.561
439,39,energy,0.565
440,40,energy,0.6
441,41,energy,0.599
442,42,energy,0.604
443,43,energy,0.5954999999999999
444,44,energy,0.617
445,45,energy,0.627
446,46,energy,0.619
447,47,energy,0.63
448,48,energy,0.6335
449,49,energy,0.636
450,50,energy,0.642
451,51,energy,0.6409999999999999
452,52,energy,0.635
453,53,energy,0.644
454,54,energy,0.639
455,55,energy,0.6509999999999999
456,56,energy,0.6515
457,57,energy,0.645
458,58,energy,0.655
459,59,energy,0.6555
460,60,energy,0.6459999999999999
461,61,energy,0.647
462,62,energy,0.637
463,63,energy,0.639
464,64,energy,0.643
465,65,energy,0.6465
466,66,energy,0.632
467,67,energy,0.6365000000000001
468,68,energy,0.659
469,69,energy,0.636
470,70,energy,0.645
471,71,energy,0.6445000000000001
472,72,energy,0.654
473,73,energy,0.6635
474,74,energy,0.6545
475,75,energy,0.6509999999999999
476,76,energy,0.648
477,77,energy,0.6695
478,78,energy,0.652
479,79,energy,0.653
480,80,energy,0.6659999999999999
481,81,energy,0.615
482,82,energy,0.663
483,83,energy,0.5905
484,84,energy,0.604
485,85,energy,0.608
486,86,energy,0.63
487,87,energy,0.62
488,88,energy,0.6920000000000001
489,89,energy,0.578
490,90,energy,0.6579999999999999
491,91,energy,0.6659999999999999
492,92,energy,0.6859999999999999
493,93,energy,0.45799999999999996
494,94,energy,0.7934999999999999
495,95,energy,0.48
496,96,energy,0.639
497,97,energy,0.765
498,99,energy,0.722
499,100,energy,0.573
500,0,instrumentalness,0.08505
501,1,instrumentalness,0.0075899999999999995
502,2,instrumentalness,0.0202
503,3,instrumentalness,0.01
504,4,instrumentalness,0.004880000000000001
505,5,instrumentalness,0.0135
506,6,instrumentalness,0.00932
507,7,instrumentalness,0.004745
508,8,instrumentalness,0.00559
509,9,instrumentalness,0.00625
510,10,instrumentalness,0.0022899999999999995
511,11,instrumentalness,0.00155
512,12,instrumentalness,0.0008675
513,13,instrumentalness,0.00031299999999999996
514,14,instrumentalness,0.00015
515,15,instrumentalness,0.000505
516,16,instrumentalness,0.000426
517,17,instrumentalness,0.00044249999999999997
518,18,instrumentalness,0.00011899999999999999
519,19,instrumentalness,0.000212
520,20,instrumentalness,0.000186
521,21,instrumentalness,0.00022999999999999998
522,22,instrumentalness,0.000416
523,23,instrumentalness,0.000332
524,24,instrumentalness,0.000375
525,25,instrumentalness,0.000431
526,26,instrumentalness,0.000337
527,27,instrumentalness,0.0004764999999999999
528,28,instrumentalness,0.0005009999999999999
529,29,instrumentalness,0.0004
530,30,instrumentalness,0.00047400000000000003
531,31,instrumentalness,0.00036
532,32,instrumentalness,0.000333
533,33,instrumentalness,0.00031299999999999996
534,34,instrumentalness,0.000322
535,35,instrumentalness,0.00028700000000000004
536,36,instrumentalness,0.00019549999999999998
537,37,instrumentalness,0.000134
538,38,instrumentalness,0.000152
539,39,instrumentalness,9.69e-05
540,40,instrumentalness,0.00011100000000000001
541,41,instrumentalness,8.960000000000001e-05
542,42,instrumentalness,0.000101
543,43,instrumentalness,9.995000000000002e-05
544,44,instrumentalness,4.35e-05
545,45,instrumentalness,5.29e-05
546,46,instrumentalness,5.570000000000001e-05
547,47,instrumentalness,3.575e-05
548,48,instrumentalness,3.08e-05
549,49,instrumentalness,5.5e-05
550,50,instrumentalness,3.47e-05
551,51,instrumentalness,2.8199999999999998e-05
552,52,instrumentalness,2.61e-05
553,53,instrumentalness,1.7899999999999998e-05
554,54,instrumentalness,2.08e-05
555,55,instrumentalness,9.82e-06
556,56,instrumentalness,2.0750000000000003e-05
557,57,instrumentalness,7.24e-06
558,58,instrumentalness,8.56e-06
559,59,instrumentalness,3.8400000000000005e-06
560,60,instrumentalness,7.91e-06
561,61,instrumentalness,4.81e-06
562,62,instrumentalness,4.93e-06
563,63,instrumentalness,8.18e-06
564,64,instrumentalness,4.7e-06
565,65,instrumentalness,2.5999999999999997e-06
566,66,instrumentalness,2.29e-06
567,67,instrumentalness,2.2e-06
568,68,instrumentalness,0.0
569,69,instrumentalness,1.22e-06
570,70,instrumentalness,1.095e-06
571,71,instrumentalness,0.0
572,72,instrumentalness,5.15e-07
573,73,instrumentalness,1.06e-06
574,74,instrumentalness,0.0
575,75,instrumentalness,0.0
576,76,instrumentalness,0.0
577,77,instrumentalness,0.0
578,78,instrumentalness,0.0
579,79,instrumentalness,0.0
580,80,instrumentalness,0.0
581,81,instrumentalness,0.0
582,82,instrumentalness,0.0
583,83,instrumentalness,9.85e-07
584,84,instrumentalness,0.0
585,85,instrumentalness,0.0
586,86,instrumentalness,0.0
587,87,instrumentalness,3.77e-06
588,88,instrumentalness,1.46e-06
589,89,instrumentalness,0.0
590,90,instrumentalness,0.0
591,91,instrumentalness,3.95e-06
592,92,instrumentalness,0.0
593,93,instrumentalness,0.0004623500000000001
594,94,instrumentalness,7.55e-07
595,95,instrumentalness,0.0
596,96,instrumentalness,7.95e-07
597,97,instrumentalness,0.0
598,99,instrumentalness,0.0
599,100,instrumentalness,5.22e-05
600,0,liveness,0.158
601,1,liveness,0.16
602,2,liveness,0.152
603,3,liveness,0.151
604,4,liveness,0.145
605,5,liveness,0.13699999999999998
606,6,liveness,0.14300000000000002
607,7,liveness,0.138
608,8,liveness,0.14300000000000002
609,9,liveness,0.14
610,10,liveness,0.1395
611,11,liveness,0.141
612,12,liveness,0.141
613,13,liveness,0.145
614,14,liveness,0.14300000000000002
615,15,liveness,0.139
616,16,liveness,0.141
617,17,liveness,0.141
618,18,liveness,0.13699999999999998
619,19,liveness,0.13699999999999998
620,20,liveness,0.14
621,21,liveness,0.13699999999999998
622,22,liveness,0.135
623,23,liveness,0.134
624,24,liveness,0.135
625,25,liveness,0.139
626,26,liveness,0.134
627,27,liveness,0.138
628,28,liveness,0.1365
629,29,liveness,0.1355
630,30,liveness,0.138
631,31,liveness,0.135
632,32,liveness,0.132
633,33,liveness,0.13
634,34,liveness,0.132
635,35,liveness,0.128
636,36,liveness,0.128
637,37,liveness,0.129
638,38,liveness,0.128
639,39,liveness,0.129
640,40,liveness,0.129
641,41,liveness,0.132
642,42,liveness,0.127
643,43,liveness,0.129
644,44,liveness,0.132
645,45,liveness,0.127
646,46,liveness,0.128
647,47,liveness,0.1285
648,48,liveness,0.127
649,49,liveness,0.125
650,50,liveness,0.127
651,51,liveness,0.124
652,52,liveness,0.125
653,53,liveness,0.126
654,54,liveness,0.125
655,55,liveness,0.128
656,56,liveness,0.127
657,57,liveness,0.126
658,58,liveness,0.125
659,59,liveness,0.121
660,60,liveness,0.125
661,61,liveness,0.126
662,62,liveness,0.122
663,63,liveness,0.12300000000000001
664,64,liveness,0.12300000000000001
665,65,liveness,0.1235
666,66,liveness,0.121
667,67,liveness,0.1205
668,68,liveness,0.126
669,69,liveness,0.12300000000000001
670,70,liveness,0.122
671,71,liveness,0.12
672,72,liveness,0.12300000000000001
673,73,liveness,0.12
674,74,liveness,0.11850000000000001
675,75,liveness,0.115
676,76,liveness,0.122
677,77,liveness,0.12300000000000001
678,78,liveness,0.11199999999999999
679,79,liveness,0.11900000000000001
680,80,liveness,0.121
681,81,liveness,0.115
682,82,liveness,0.113
683,83,liveness,0.118
684,84,liveness,0.125
685,85,liveness,0.11850000000000001
686,86,liveness,0.132
687,87,liveness,0.109
688,88,liveness,0.141
689,89,liveness,0.131
690,90,liveness,0.158
691,91,liveness,0.11
692,92,liveness,0.129
693,93,liveness,0.1085
694,94,liveness,0.19749999999999998
695,95,liveness,0.1033
696,96,liveness,0.09140000000000001
697,97,liveness,0.0936
698,99,liveness,0.272
699,100,liveness,0.113
700,0,loudness,0.7086915668311018
701,1,loudness,0.7052384308198262
702,2,loudness,0.7220264662125128
703,3,loudness,0.7237647795787331
704,4,loudness,0.7317046433325504
705,5,loudness,0.7362618432385875
706,6,loudness,0.7287134915041893
707,7,loudness,0.7253934695795161
708,8,loudness,0.7226059040012529
709,9,loudness,0.7241719520789289
710,10,loudness,0.72827499804244
711,11,loudness,0.7287761334272963
712,12,loudness,0.7281497141962259
713,13,loudness,0.7340223944875108
714,14,loudness,0.7343042831414925
715,15,loudness,0.7293085897737062
716,16,loudness,0.7323310625636208
717,17,loudness,0.7333255030929451
718,18,loudness,0.7383916686242269
719,19,loudness,0.7469892725706679
720,20,loudness,0.7478349385326131
721,21,loudness,0.7472085193015426
722,22,loudness,0.751773549447968
723,23,loudness,0.7518283611306867
724,24,loudness,0.758468404980033
725,25,loudness,0.7570746221909013
726,26,loudness,0.760942760942761
727,27,loudness,0.759870018009553
728,28,loudness,0.7601049252212043
729,29,loudness,0.7609192702215959
730,30,loudness,0.7638556103672384
731,31,loudness,0.7654216584449143
732,32,loudness,0.7679899772923029
733,33,loudness,0.7701354631587191
734,34,loudness,0.7706052775820218
735,35,loudness,0.7748257771513586
736,36,loudness,0.7786077832589461
737,37,loudness,0.7817320491739097
