,popularity,characteristic,power
953,53,tempo,0.4807377200655422
954,54,tempo,0.49278254834563284
955,55,tempo,0.4910331119844604
956,56,tempo,0.48472528510474033
957,57,tempo,0.4884335973914508
958,58,tempo,0.4828978222391964
959,59,tempo,0.4906532461079148
960,60,tempo,0.48869026352425193
961,61,tempo,0.49636971421766113
962,62,tempo,0.49332873387623355
963,63,tempo,0.49278254834563284
964,64,tempo,0.49274969508063426
965,65,tempo,0.4929036947603149
966,66,tempo,0.49288726812781564
967,67,tempo,0.4930926010340565
968,68,tempo,0.5008521315608997
969,69,tempo,0.5029218872558079
970,70,tempo,0.4929303880381263
971,71,tempo,0.4930782277306196
972,72,tempo,0.49171071057505533
973,73,tempo,0.4919139901522338
974,74,tempo,0.48470269848505376
975,75,tempo,0.48971898138451875
976,76,tempo,0.49303716114937146
977,77,tempo,0.4929221747218766
978,78,tempo,0.4926470286275138
979,79,tempo,0.4853802970756487
980,80,tempo,0.4930535877818708
981,81,tempo,0.49286673483719157
982,82,tempo,0.46878734492232255
983,83,tempo,0.5001519463506183
984,84,tempo,0.50490129647197
985,85,tempo,0.4620709055591831
986,86,tempo,0.5053489222075751
987,87,tempo,0.49292628138000144
988,88,tempo,0.48033526756931016
989,89,tempo,0.47343197526149144
990,90,tempo,0.5751046171157298
991,91,tempo,0.6163108247401512
992,92,tempo,0.4516420472512084
993,93,tempo,0.40263113586057075
994,94,tempo,0.5400111701100996
995,95,tempo,0.4332893920913978
996,96,tempo,0.5689528432447527
997,97,tempo,0.46833971918671746
998,99,tempo,0.3736607161190438
999,100,tempo,0.4514367143449675
